total_wage,num_in_field,field
7496240.0,178,"RECREATION AND FITNESS STUDIES TEACHERS,"
7976484.0,178,SET AND EXHIBIT DESIGNERS
7081482.0,176,"HEALTH TECHNOLOGISTS AND TECHNICIANS, ALL OTHER"
6747453.0,173,"ENVIRONMENTAL SCIENCE AND PROTECTION TECHNICIANS,"
7493416.0,171,INDUSTRIAL ENGINEERING TECHNICIANS
16714244.0,170,COMPENSATION AND BENEFITS MANAGERS
8219028.0,170,"Compliance Officers, Except Agriculture, Construct"
10330450.0,170,"Computer Software Engineers, Applications,R&D"
7428083.0,168,MATHEMATICAL TECHNICIANS
4704411.0,167,RESIDENTIAL ADVISORS
8371693.0,166,SURVEYORS
9065776.0,163,"ATMOSPHERIC, EARTH, MARINE, AND SPACE SCIENCES"
5620154.0,159,SUBSTANCE ABUSE AND BEHAVIORAL DISORDER COUNSELORS
5147106.0,156,CUSTOMER SERVICE REPRESENTATIVES
8033879.0,155,"AREA, ETHNIC, AND CULTURAL STUDIES TEACHERS,"
5930322.0,155,"PRODUCTION, PLANNING, AND EXPEDITING CLERKS"
17921217.0,154,"FINANCIAL MANAGERS, BRANCH OR DEPARTMENT"
12007589.0,154,"SOFTWARE DEVELOPER, APPLICATIONS"
6377029.0,153,ARCHIVISTS
8728901.0,152,"SPECIAL EDUCATION TEACHERS, ALL OTHER"
6880522.0,148,"Employment, Recruitment, and Placement Specialists"
4896460.0,148,FITNESS TRAINERS AND AEROBICS INSTRUCTORS
7359149.0,146,AEROSPACE ENGINEERING AND OPERATIONS TECHNICIANS
5670832.0,142,Meeting and Convention Planners
10000504.0,142,PODIATRISTS
7136103.0,141,ORTHOTISTS AND PROSTHETISTS
6693303.0,138,HEALTHCARE PRACTITIONERS AND TECHNICAL WORKERS
6252026.0,137,ADVERTISING SALES AGENTS
5119306.0,134,"Educational, Vocational, and School Counselors"
6568711.0,133,"LIBRARY SCIENCE TEACHERS, POSTSECONDARY"
5102476.0,132,MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS
7817749.0,131,"ELECTRICAL ENGINEERS, NON R&D"
6787031.0,128,INSURANCE SALES AGENTS
5562202.0,127,"HOME ECONOMICS TEACHERS, POSTSECONDARY"
8902568.0,126,"Mining and Geological Engineers, Including Mining "
7008393.0,124,COMPUTER SYSTEM ANALYSTS
5834493.0,124,EXERCISE PHYSIOLOGISTS
9978784.0,123,GEOLOGISTS
5717568.0,122,FIRST-LINE SUPERVISORS OF PRODUCTION AND OPERATING
5493696.0,121,TRANSPORTATION INSPECTORS
4620678.0,120,MOLECULAR AND CELLULAR BIOLOGISTS
7522210.0,119,AUDIOLOGISTS
7360449.0,119,"PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION"
5076338.0,119,"THERAPISTS, ALL OTHER"
6573945.0,117,COPY WRITERS
5609046.0,117,FUNDRAISERS
16812765.0,112,ORTHODONTISTS
5039303.0,111,"SPECIAL EDUCATION TEACHERS, PRESCHOOL"
9531603.0,110,"Human Resources Managers, All Other"
4963303.0,110,PHYSICAL THERAPIST ASSISTANTS
4265854.0,109,ADULT BASIC AND SECONDARY EDUCATION AND LITERACY
17054338.0,109,Private Sector Executives
6525443.0,109,PRODUCERS
3207034.0,108,SOCIAL AND HUMAN SERVICE ASSISTANTS
4620633.0,106,ENVIRONMENTAL ENGINEERING TECHNICIANS
4810611.0,104,"ARTISTS AND RELATED WORKERS, ALL OTHER"
4698233.0,104,"CRIMINAL JUSTICE AND LAW ENFORCEMENT TEACHERS, POS"
4856763.0,103,BIOLOGICAL SCIENTISTS
